Source,Plx,Gmag,BPmag,RPmag
4165071645134231936,5.0,20.427282,21.479973,18.980034
4078365365086028416,5.0,20.121367,20.634893,19.168327
4053338796833458304,5.0,20.15942,,
6000271833111039744,5.0,20.677351,21.213799,19.31853
85457892001872000,5.0,18.027079,19.327946,16.842323
6702268805824338304,5.0,11.918877,12.319131,11.352124
4043636981083110400,5.0,19.957098,,
5980297005418931456,5.0,19.165562,18.769114,17.24063
2295269559942880128,5.0,14.040513,14.843112,13.166822
5834712423149804032,5.0,18.142717,,
138914876034988672,5.0,18.19766,20.195324,16.94987
2921046157535466368,5.0,19.969744,20.617722,18.29038
756644044939771264,5.0,20.830683,21.515263,19.658068
4943141327700869888,5.0,11.190912,11.519081,10.697988
1950780712851161600,5.0,20.841957,20.992996,19.75966
6806584735284468864,5.0,17.514091,19.04848,16.298714
5930199201184305152,5.0,20.36464,20.713867,19.170925
4097115405634796672,5.0,20.362698,21.491913,18.264654
4048809221256417536,5.0,19.901981,,
6838248810440366720,5.0,20.678984,20.816223,20.031027
147678675197944064,5.0,15.486176,17.04717,14.290046
6032941381602894976,5.0,20.534061,21.204515,19.116028
2018820450908332288,5.0,20.794651,22.444344,19.572762
5566070533771912192,5.0,18.435617,20.183311,17.157206
5938372867544354816,5.0,20.287327,,
5931076920762151296,5.0,14.473795,15.339764,13.55969
4035501454068883200,5.0,19.674536,19.74616,18.817892
5529093339257317376,5.0,20.929123,21.295443,20.518053
4116448393408747008,5.0,20.36704,,
5876443321841578240,5.0,19.866528,20.571575,18.08759
4065423838340443008,5.0,,,
4059240322432992512,5.0,20.423542,,
5931763737558390272,5.0,20.472937,,
5669928748565836160,5.0,20.52934,20.94857,19.272375
375954743871676160,5.0,13.473776,14.150623,12.683213
108700983697152128,5.0,18.561089,20.520956,17.283817
5440804376610588288,5.0,19.471403,21.21604,18.089458
4093534120121890816,5.0,19.887459,20.662525,18.887342
2203032285406512000,5.0,20.797726,21.939161,19.935547
5595761951939612288,5.0,19.893896,21.337296,18.477085
4128388299416209280,5.0,20.101295,21.10797,18.758165
4289099309858911488,5.0,20.200027,21.182306,19.271358
270623557158662144,5.0,16.702274,18.045956,15.57192
257510025569918848,5.0,20.810816,21.377647,19.61547
4111945858921210112,5.0,20.313023,20.631351,19.506
2019316571182734848,5.0,15.068486,16.107294,14.054038
4157565691575298048,5.0,20.290428,21.7401,18.662989
3823156518535765632,5.0,13.081843,13.657231,12.36688
5984281979122201984,5.0,20.6736,21.057615,19.215496
942378535560808704,5.0,19.912,21.394627,18.532259
1821980725331637504,5.0,20.842613,21.469025,19.964975
413870234138014336,5.0,20.951374,20.995693,19.704262
5930274105391762304,5.0,20.88001,21.517029,20.193867
4321801053427684096,5.0,20.769138,21.110203,19.172466
6642565736748232320,5.0,16.352428,17.75584,15.178826
3547461743173080960,5.0,17.569382,19.16073,16.350021
4123921292983562240,5.0,20.224394,20.40729,18.841702
4116841602020725120,5.0,20.367628,,
2018586392359033984,5.0,20.813614,,
5933585490867878656,5.0,20.281425,,
4041832029773191552,5.0,19.407436,,
5237191384551062400,5.0,20.219837,20.641336,18.910305
1605892674317127936,5.0,16.351717,17.587196,15.249034
1819527199520571136,5.0,20.674585,21.32148,19.706476
532128653931364992,5.0,17.615065,19.31518,16.351183
2935530848842042368,5.0,20.67726,21.239943,19.138502
6693418772304252800,5.0,16.45289,17.722158,15.347502
4319547771801141888,5.0,19.69295,21.51453,18.333366
4999786822436898176,5.0,18.437126,19.748337,17.063862
4457547613633619072,5.0,20.029346,20.983759,18.515888
3206194907530536960,5.0,17.623768,19.076721,16.460615
4520398275261176448,5.0,18.994907,19.651834,17.963612
274230298892675456,5.0,20.793564,21.943829,19.574474
3027318835441301760,5.0,20.716116,21.095701,19.707273
4136210564413450880,5.0,19.923336,20.041883,18.67156
2060481461862444032,5.0,18.5025,20.231035,17.208817
6629991004518533120,5.0,20.792765,20.64084,19.66855
6124450126592473984,5.0,17.077106,18.814558,15.812728
4038759204002892032,5.0,19.8404,19.404099,18.459463
6733190547451724160,5.0,18.864714,18.848984,17.870008
2512105824307382656,5.0,20.036983,20.755608,18.611107
4050419795345592064,5.0,19.152782,18.7197,17.302555
6411276495113979392,5.0,19.603937,21.272442,18.247149
